Project,BHK,Location,total_floors,Carpet Area,Super Area,Price,Price Per Sqft
Sanskruti Panchtatva,2,Sanskruti Panchtatva,21,780,1000,9900000,9900
Kolte Patil Equa Wagholi,2,Kolte Patil Equa Wagholi,12,787,1005,4800000,4776
Nivasa Enchante,3,Nivasa Enchante,13,1100,1405,8500000,6050
Krishna Amorapolis,3,Krishna Amorapolis,13,1021,1379,9000000,6526
Kumar Kruti,2,Kumar Kruti,12,910,1050,11000000,10476
Gera Isle Royale,4,Gera Isle Royale,18,2400,3000,27500000,9167
Marvel Ritz,3,Marvel Ritz,12,1530,1852,20299999,10961
VTP Beaumonde,3,VTP Beaumonde,25,1150,1600,11000000,6875
AWHO Vijay Vihar,3,AWHO Vijay Vihar,14,1500,1800,15000000,8333
Nyati Elysia,2,EON Free Zone,28,745,1060,9400000,8868
Mangal Shanti Mansha,2,Mangal Shanti Mansha,12,640,820,5000000,6098
Adimaa,5,Adimaa,9,4000,5500,82000000,14909
Dharmesh Apartment,3,Model Colony,15,1224,1650,25700000,15576
24K Altura,4,24K Altura,27,1737,2335,23700000,10150
ANP Universe,4,ANP Universe,2,1712,2352,25500000,10842
Bramha the Collection,2,Bramha the Collection,29,700,980,10500000,10714
Marvel Zephyr,4,Marvel Zephyr,12,3400,4800,40000000,8333
10 North,3,10 North,9,2400,2700,27500000,10185
Rakshak Nagar Gold,2,Rakshak Nagar Gold,6,600,850,6400000,7529
Zen Estate,2,Zen Estate,15,745,1100,10000000,9091
Rudra Apartments,1,Rudra Apartments,12,530,750,3250000,4333
Clover Acropolis,3,Clover Acropolis,8,1250,1450,19000000,13103
Kakkad La Vida,3,Kakkad La Vida,23,1000,1301,10400000,7994
Vertillas,2,Vertillas,22,1100,1500,12100000,8067
Kolte-Patil Tuscan Estate,3,EON Free Zone,12,1250,1650,17800000,10788
Marvel Zephyr,3,EON Free Zone,12,1700,2100,23000000,10952
Colonnade,2,Colonnade,11,750,1100,8000000,7273
Paranjape Sky One,4,Model Colony,14,1920,2700,47500000,17593
Kumar Primrose,2,EON Free Zone,11,880,1045,10100000,9665
Choic Goodwill Metropolis East,2,Choic Goodwill Metropolis East,13,693,936,5780000,6176
Gulmohar Queenstown,2,EON Free Zone,11,850,1039,10500000,10106
Kalpataru Harmony,3,Kalpataru Harmony,12,1280,1700,14900000,8765
Forest Trails Highland,3,Bhugaon,11,1450,2500,18500000,7400
Yuvraj Classic,1,Yuvraj Classic,5,535,660,4100000,6212
Empress Court,2,Sopan Baug Society,11,1597,1650,18500000,11212
Omega Paradise,2,Omega Paradise,10,820,1000,7800000,7800
Jade Residences 2,2,Jade Residences 2,10,650,760,4500000,5921
Godrej 24,2,Godrej 24,17,939,1245,10500000,8434
Mont Vert Vesta,2,Mont Vert Vesta,12,592,658,4230000,6429
Lunkad Shivpuram,1,Lunkad Shivpuram,7,500,563,3379999,6000
Porwal Road Residential,2,Porwal Road Residential,8,972,1061,8100000,7633
Ionia,2,Ionia,14,812,1005,5910000,5880
Mont Vert Pristine,2,Mont Vert Pristine,11,1250,1473,17400000,11812
G P Ratnadeep Wing B,1,Pimple Gurav,6,334,460,5500000,11957
Sai Sayaji Towers,1,Sai Sayaji Towers,9,720,799,5360000,6706
Godrej Skygreens,2,Godrej Skygreens,22,52,689,8000000,11612
Nirman Brookefield Willows,1,Nirman Brookefield Willows,9,430,518,3090000,5965
Panchawati,1,Panchawati,5,550,650,3800000,5846
Prakash Florence,2,Prakash Florence,4,824,1047,7250000,6925
Satyam Serenity,1,Satyam Serenity,11,482,599,5000000,8347
Sukhwani Hermosa Casa,3,Sukhwani Hermosa Casa,16,851,843,8730000,10352
Shivam Guruvihar,2,Shivam Guruvihar,5,680,775,2960000,3818
Sai Niwas,1,Sai Niwas,7,512,650,2100000,3231
VTP Blue Waters,2,VTP Blue Waters,23,650,900,8200000,9111
